id,name,description,is_active,need_approval,created_at,updated_at,role_id,reports_to_role_id
447,resources.index,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
448,resources.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
449,resources.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
450,resources.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
451,responses.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
452,responses.index,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
453,responses.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
454,responses.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
455,responses.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
456,roles.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
457,roles.index,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
458,roles.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
459,roles.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
460,roles.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
461,subjects.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
462,subjects.index,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
463,subjects.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
464,subjects.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
465,subjects.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
466,subscribers.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
467,subscribers.index,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
468,subscribers.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
469,subscribers.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
470,subscribers.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
471,tags.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
472,tags.index,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
473,tags.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
474,tags.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
475,tags.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
476,users.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
477,users.index,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
478,users.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
479,users.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
480,users.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,6,5
481,accepted-domains.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
482,accepted-domains.index,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
483,accepted-domains.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
484,accepted-domains.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
485,accepted-domains.update,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
486,appreciations.destroy,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
487,appreciations.index,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
488,appreciations.show,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
489,appreciations.store,null,0,1,9/25/2023 8:04,9/25/2023 8:04,7,2
